時刻,時間 (ミリ秒),コンピュータ,理由,タグ,処理,ランク,方向,インタフェース,フレームの種類,プロトコル,フラグ,送信元IP,送信元MAC,送信元ポート,送信先IP,送信先MAC,送信先ポート,パケットサイズ,繰り返しカウント,終了時刻,フロー,ステータス,備考,データフラグ,データインデックス,データ
2015-02-16 21:54:02,1424091242796308,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,15547,10.10.17.241,06:77:6B:F6:A5:AD,80,588,1,,接続フロー,138,,8,40620,06776BF6A5AD02E9E540000308004500023E503E400035060000D28071FB0A0A11F13CBB005041CB9C3ECC4E4AC680180073000000000101080A9214C61E025554DA
2015-02-16 21:54:03,1424091243389096,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.42,02:E9:E5:40:00:03,55738,10.10.17.241,06:77:6B:F6:A5:AD,80,576,1,,接続フロー,138,,8,40622,06776BF6A5AD02E9E5400003080045000232EFE640003F06000036F9562A0A0A11F1D9BA00507923034EE45AD99E80180073000000000101080AA13C133702555518
2015-02-16 21:54:06,1424091246025445,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.56,02:E9:E5:40:00:03,56123,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40624,06776BF6A5AD02E9E540000308004500022EAAB640003F06000036F956380A0A11F1DB3B0050F7D70DECDEE1E8CF80180073000000000101080A499EADE20255561F
2015-02-16 21:54:12,1424091252031330,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.56,02:E9:E5:40:00:03,56125,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40626,06776BF6A5AD02E9E540000308004500022E112C40003F06000036F956380A0A11F1DB3D005060B9DAF17348CCC780180073000000000101080A499EC55802555878
2015-02-16 21:54:19,1424091259659583,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.65,02:E9:E5:40:00:03,65132,10.10.17.241,06:77:6B:F6:A5:AD,80,580,1,,接続フロー,138,,8,40628,06776BF6A5AD02E9E5400003080045000236866740003F06000036F956410A0A11F1FE6C00503837B7F618EED52D80180073000000000101080AA16F371D02555B72
2015-02-16 21:54:19,1424091259831180,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.60,02:E9:E5:40:00:03,55970,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40630,06776BF6A5AD02E9E540000308004500022EB9A540003F06000036F9563C0A0A11F1DAA2005065B9ECE71A61385480180073000000000101080AA15E5FCC02555B84
2015-02-16 21:54:20,1424091260143174,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,7160,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40632,06776BF6A5AD02E9E54000030800450002786DBF400035060000D28071FB0A0A11F11BF80050C9DA849FAD1C2CEC80180073000000000101080A49DF13C602555BA1
2015-02-16 21:54:20,1424091260782762,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,52943,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40634,06776BF6A5AD02E9E5400003080045000278751D400035060000D28071FB0A0A11F1CECF0050A720D8A92E35653780180073000000000101080A9212A74302555BE2
2015-02-16 21:54:21,1424091261250753,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.63.158,02:E9:E5:40:00:03,38325,10.10.17.241,06:77:6B:F6:A5:AD,80,578,1,,接続フロー,138,,8,40636,06776BF6A5AD02E9E5400003080045000234A46F40003F06000036F93F9E0A0A11F195B50050C5B67B0622474FDA8018008D000000000101080A9267D0E502555C12
2015-02-16 21:54:21,1424091261297552,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,52981,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40638,06776BF6A5AD02E9E54000030800450002786BB0400035060000D28071FB0A0A11F1CEF50050F4E9B972C855AC6380180073000000000101080A49D3D97402555C16
